 A ( ADVERB ) 
 adissimo ( VERB ) lemma=adire 
 adiste ( VERB ) lemma=adire 
 adisti ( VERB ) lemma=adire 
 adita ( VERB_PAST_PARTICIPLE VERB ) lemma=adire 
 adite ( VERB_PAST_PARTICIPLE VERB ) lemma=adire 
 aditi ( VERB_PAST_PARTICIPLE VERB ) lemma=adire 
 adito ( VERB_PAST_PARTICIPLE VERB ) lemma=adire 
 adiva ( VERB ) lemma=adire 
 adivamo ( VERB ) lemma=adire 
 adivan ( VERB ) lemma=adire 
 adivano ( VERB ) lemma=adire 
 adivate ( VERB ) lemma=adire 
 adivi ( VERB ) lemma=adire 
 adivo ( VERB ) lemma=adire 
 adocchi ( VERB ) lemma=adocchiare 
 adocchia ( VERB ) lemma=adocchiare 
 adocchiai ( VERB ) lemma=adocchiare 
 adocchiammo ( VERB ) lemma=adocchiare 
 adocchiamo ( VERB ) lemma=adocchiare 
 adocchian ( VERB ) lemma=adocchiare 
 adocchiando ( NOUN NOUN_GERUND ) lemma=adocchiare 
 adocchiano ( VERB ) lemma=adocchiare 
 adocchiante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adocchiare 
 adocchianti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adocchiare 
 adocchiar ( VERB_INFINITIVE VERB ) lemma=adocchiare 
 adocchiare ( VERB_INFINITIVE VERB ) 
 adocchiaron ( VERB ) lemma=adocchiare 
 adocchiarono ( VERB ) lemma=adocchiare 
 adocchiasse ( VERB ) lemma=adocchiare 
 adocchiasser ( VERB ) lemma=adocchiare 
 adocchiassero ( VERB ) lemma=adocchiare 
 adocchiassi ( VERB ) lemma=adocchiare 
 adocchiassimo ( VERB ) lemma=adocchiare 
 adocchiaste ( VERB ) lemma=adocchiare 
 adocchiasti ( VERB ) lemma=adocchiare 
 adocchiata ( VERB_PAST_PARTICIPLE VERB ) lemma=adocchiare 
 adocchiate ( VERB_PAST_PARTICIPLE VERB ) lemma=adocchiare 
 adocchiati ( VERB_PAST_PARTICIPLE VERB ) lemma=adocchiare 
 adocchiato ( VERB_PAST_PARTICIPLE VERB ) lemma=adocchiare 
 adocchiava ( VERB ) lemma=adocchiare 
 adocchiavamo ( VERB ) lemma=adocchiare 
 adocchiavan ( VERB ) lemma=adocchiare 
 adocchiavano ( VERB ) lemma=adocchiare 
 adocchiavate ( VERB ) lemma=adocchiare 
 adocchiavi ( VERB ) lemma=adocchiare 
 adocchiavo ( VERB ) lemma=adocchiare 
 adocchiera' ( VERB ) lemma=adocchiare 
 adocchierai ( VERB ) lemma=adocchiare 
 adocchieran ( VERB ) lemma=adocchiare 
 adocchieranno ( VERB ) lemma=adocchiare 
 adocchierebbe ( VERB ) lemma=adocchiare 
 adocchierebber ( VERB ) lemma=adocchiare 
 adocchierebbero ( VERB ) lemma=adocchiare 
 adocchierei ( VERB ) lemma=adocchiare 
 adocchieremmo ( VERB ) lemma=adocchiare 
 adocchieremo ( VERB ) lemma=adocchiare 
 adocchiereste ( VERB ) lemma=adocchiare 
 adocchieresti ( VERB ) lemma=adocchiare 
 adocchierete ( VERB ) lemma=adocchiare 
 adocchiero' ( VERB ) lemma=adocchiare 
 adocchierà ( VERB ) lemma=adocchiare 
 adocchierò ( VERB ) lemma=adocchiare 
 adocchin ( VERB ) lemma=adocchiare 
 adocchino ( VERB ) lemma=adocchiare 
 adocchio ( VERB ) lemma=adocchiare 
 adocchio' ( VERB ) lemma=adocchiare 
 adocchiò ( VERB ) lemma=adocchiare 
 adolescente ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 adolescenti ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=adolescente 
 adolescentissima ( ADJECTIVE ) lemma=adolescente 
 adolescentissime ( ADJECTIVE ) lemma=adolescente 
 adolescentissimi ( ADJECTIVE ) lemma=adolescente 
 adolescentissimo ( ADJECTIVE ) lemma=adolescente 
 adolescenza ( NOUN NOUN_SINGULAR ) 
 adolescenze ( NOUN NOUN_SINGULAR ) lemma=adolescenza 
 adombra ( VERB ) lemma=adombrare 
 adombrai ( VERB ) lemma=adombrare 
 adombrammo ( VERB ) lemma=adombrare 
 adombran ( VERB ) lemma=adombrare 
 adombrando ( NOUN NOUN_GERUND ) lemma=adombrare 
 adombrano ( VERB ) lemma=adombrare 
 adombrante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adombrare 
 adombranti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adombrare 
 adombrar ( VERB_INFINITIVE VERB ) lemma=adombrare 
 adombrare ( VERB_INFINITIVE VERB ) 
 adombraron ( VERB ) lemma=adombrare 
 adombrarono ( VERB ) lemma=adombrare 
 adombrasse ( VERB ) lemma=adombrare 
 adombrasser ( VERB ) lemma=adombrare 
 adombrassero ( VERB ) lemma=adombrare 
 adombrassi ( VERB ) lemma=adombrare 
 adombrassimo ( VERB ) lemma=adombrare 
 adombraste ( VERB ) lemma=adombrare 
 adombrasti ( VERB ) lemma=adombrare 
 adombrata ( VERB_PAST_PARTICIPLE VERB ) lemma=adombrare 
 adombrate ( VERB_PAST_PARTICIPLE VERB ) lemma=adombrare 
 adombrati ( VERB_PAST_PARTICIPLE VERB ) lemma=adombrare 
 adombrato ( VERB_PAST_PARTICIPLE VERB ) lemma=adombrare 
 adombrava ( VERB ) lemma=adombrare 
 adombravamo ( VERB ) lemma=adombrare 
 adombravan ( VERB ) lemma=adombrare 
 adombravano ( VERB ) lemma=adombrare 
 adombravate ( VERB ) lemma=adombrare 
 adombravi ( VERB ) lemma=adombrare 
 adombravo ( VERB ) lemma=adombrare 
 adombrera' ( VERB ) lemma=adombrare 
 adombrerai ( VERB ) lemma=adombrare 
 adombreran ( VERB ) lemma=adombrare 
 adombreranno ( VERB ) lemma=adombrare 
 adombrerebbe ( VERB ) lemma=adombrare 
 adombrerebber ( VERB ) lemma=adombrare 
 adombrerebbero ( VERB ) lemma=adombrare 
 adombrerei ( VERB ) lemma=adombrare 
 adombreremmo ( VERB ) lemma=adombrare 
 adombreremo ( VERB ) lemma=adombrare 
 adombrereste ( VERB ) lemma=adombrare 
 adombreresti ( VERB ) lemma=adombrare 
 adombrerete ( VERB ) lemma=adombrare 
 adombrero' ( VERB ) lemma=adombrare 
 adombrerà ( VERB ) lemma=adombrare 
 adombrerò ( VERB ) lemma=adombrare 
 adombri ( VERB ) lemma=adombrare 
 adombriamo ( VERB ) lemma=adombrare 
 adombriate ( VERB ) lemma=adombrare 
 adombrin ( VERB ) lemma=adombrare 
 adombrino ( VERB ) lemma=adombrare 
 adombro ( VERB ) lemma=adombrare 
 adombro' ( VERB ) lemma=adombrare 
 adombrò ( VERB ) lemma=adombrare 
 adonta ( VERB ) lemma=adontare 
 adontai ( VERB ) lemma=adontare 
 adontammo ( VERB ) lemma=adontare 
 adontan ( VERB ) lemma=adontare 
 adontando ( NOUN NOUN_GERUND ) lemma=adontare 
 adontano ( VERB ) lemma=adontare 
 adontar ( VERB_INFINITIVE VERB ) lemma=adontare 
 adontare ( VERB_INFINITIVE VERB ) 
 adontaron ( VERB ) lemma=adontare 
 adontarono ( VERB ) lemma=adontare 
 adontarsi ( VERB_INFINITIVE VERB ) 
 adontasse ( VERB ) lemma=adontare 
 adontasser ( VERB ) lemma=adontare 
 adontassero ( VERB ) lemma=adontare 
 adontassi ( VERB ) lemma=adontare 
 adontassimo ( VERB ) lemma=adontare 
 adontaste ( VERB ) lemma=adontare 
 adontasti ( VERB ) lemma=adontare 
 adontata ( VERB_PAST_PARTICIPLE VERB ) lemma=adontare 
 adontate ( VERB_PAST_PARTICIPLE VERB ) lemma=adontare 
 adontati ( VERB_PAST_PARTICIPLE VERB ) lemma=adontare 
 adontato ( VERB_PAST_PARTICIPLE VERB ) lemma=adontare 
 adontava ( VERB ) lemma=adontare 
 adontavamo ( VERB ) lemma=adontare 
 adontavan ( VERB ) lemma=adontare 
 adontavano ( VERB ) lemma=adontare 
 adontavate ( VERB ) lemma=adontare 
 adontavi ( VERB ) lemma=adontare 
 adontavo ( VERB ) lemma=adontare 
 adontera' ( VERB ) lemma=adontare 
 adonterai ( VERB ) lemma=adontare 
 adonteran ( VERB ) lemma=adontare 
 adonteranno ( VERB ) lemma=adontare 
 adonterebbe ( VERB ) lemma=adontare 
 adonterebber ( VERB ) lemma=adontare 
 adonterebbero ( VERB ) lemma=adontare 
 adonterei ( VERB ) lemma=adontare 
 adonteremmo ( VERB ) lemma=adontare 
 adonteremo ( VERB ) lemma=adontare 
 adontereste ( VERB ) lemma=adontare 
 adonteresti ( VERB ) lemma=adontare 
 adonterete ( VERB ) lemma=adontare 
 adontero' ( VERB ) lemma=adontare 
 adonterà ( VERB ) lemma=adontare 
 adonterò ( VERB ) lemma=adontare 
 adonti ( VERB ) lemma=adontare 
 adontiamo ( VERB ) lemma=adontare 
 adontiate ( VERB ) lemma=adontare 
 adontin ( VERB ) lemma=adontare 
 adontino ( VERB ) lemma=adontare 
 adonto ( VERB ) lemma=adontare 
 adonto' ( VERB ) lemma=adontare 
 adontò ( VERB ) lemma=adontare 
 adopera ( VERB ) lemma=adoperare 
 adoperai ( VERB ) lemma=adoperare 
 adoperammo ( VERB ) lemma=adoperare 
 adoperan ( VERB ) lemma=adoperare 
 adoperando ( NOUN NOUN_GERUND ) lemma=adoperare 
 adoperandosi ( NOUN NOUN_GERUND ) lemma=adoperare 
 adoperano ( VERB ) lemma=adoperare 
 adoperante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adoperare 
 adoperanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adoperare 
 adoperar ( VERB_INFINITIVE VERB ) lemma=adoperare 
 adoperarci ( VERB_INFINITIVE VERB ) lemma=adoperare 
 adoperare ( VERB_INFINITIVE VERB ) 
 adoperarli ( VERB_INFINITIVE VERB ) lemma=adoperare 
 adoperarlo ( VERB_INFINITIVE VERB ) lemma=adoperare 
 adoperarmi ( VERB_INFINITIVE VERB ) lemma=adoperare 
 adoperarne ( VERB_INFINITIVE VERB ) lemma=adoperare 
 adoperaron ( VERB ) lemma=adoperare 
 adoperarono ( VERB ) lemma=adoperare 
 adoperarsi ( VERB_INFINITIVE VERB ) lemma=adoperare 
 adoperasse ( VERB ) lemma=adoperare 
 adoperasser ( VERB ) lemma=adoperare 
 adoperassero ( VERB ) lemma=adoperare 
 adoperassi ( VERB ) lemma=adoperare 
 adoperassimo ( VERB ) lemma=adoperare 
 adoperaste ( VERB ) lemma=adoperare 
 adoperasti ( VERB ) lemma=adoperare 
 adoperata ( VERB_PAST_PARTICIPLE VERB ) lemma=adoperare 
 adoperate ( VERB_PAST_PARTICIPLE VERB ) lemma=adoperare 
 adoperatevi ( VERB ) lemma=adoperare 
 adoperati ( VERB_PAST_PARTICIPLE VERB ) lemma=adoperare 
 adoperato ( VERB_PAST_PARTICIPLE VERB ) lemma=adoperare 
 adoperava ( VERB ) lemma=adoperare 
 adoperavamo ( VERB ) lemma=adoperare 
 adoperavan ( VERB ) lemma=adoperare 
 adoperavano ( VERB ) lemma=adoperare 
 adoperavate ( VERB ) lemma=adoperare 
 adoperavi ( VERB ) lemma=adoperare 
 adoperavo ( VERB ) lemma=adoperare 
 adoperera' ( VERB ) lemma=adoperare 
 adopererai ( VERB ) lemma=adoperare 
 adopereran ( VERB ) lemma=adoperare 
 adopereranno ( VERB ) lemma=adoperare 
 adopererebbe ( VERB ) lemma=adoperare 
 adopererebber ( VERB ) lemma=adoperare 
 adopererebbero ( VERB ) lemma=adoperare 
 adopererei ( VERB ) lemma=adoperare 
 adopereremmo ( VERB ) lemma=adoperare 
 adopereremo ( VERB ) lemma=adoperare 
 adoperereste ( VERB ) lemma=adoperare 
 adopereresti ( VERB ) lemma=adoperare 
 adopererete ( VERB ) lemma=adoperare 
 adoperero' ( VERB ) lemma=adoperare 
 adopererà ( VERB ) lemma=adoperare 
 adopererò ( VERB ) lemma=adoperare 
 adoperi ( VERB ) lemma=adoperare 
 adoperiamo ( VERB ) lemma=adoperare 
 adoperiate ( VERB ) lemma=adoperare 
 adoperin ( VERB ) lemma=adoperare 
 adoperino ( VERB ) lemma=adoperare 
 adopero ( VERB ) lemma=adoperare 
 adopero' ( VERB ) lemma=adoperare 
 adoperò ( VERB ) lemma=adoperare 
 adopra ( VERB ) lemma=adoprare 
 adoprai ( VERB ) lemma=adoprare 
 adoprammo ( VERB ) lemma=adoprare 
 adopran ( VERB ) lemma=adoprare 
 adoprando ( NOUN NOUN_GERUND ) lemma=adoprare 
 adoprano ( VERB ) lemma=adoprare 
 adoprante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adoprare 
 adopranti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adoprare 
 adoprar ( VERB_INFINITIVE VERB ) lemma=adoprare 
 adoprare ( VERB_INFINITIVE VERB ) 
 adopraron ( VERB ) lemma=adoprare 
 adoprarono ( VERB ) lemma=adoprare 
 adoprasse ( VERB ) lemma=adoprare 
 adoprasser ( VERB ) lemma=adoprare 
 adoprassero ( VERB ) lemma=adoprare 
 adoprassi ( VERB ) lemma=adoprare 
 adoprassimo ( VERB ) lemma=adoprare 
 adopraste ( VERB ) lemma=adoprare 
 adoprasti ( VERB ) lemma=adoprare 
 adoprata ( VERB_PAST_PARTICIPLE VERB ) lemma=adoprare 
 adoprate ( VERB_PAST_PARTICIPLE VERB ) lemma=adoprare 
 adoprati ( VERB_PAST_PARTICIPLE VERB ) lemma=adoprare 
 adoprato ( VERB_PAST_PARTICIPLE VERB ) lemma=adoprare 
 adoprava ( VERB ) lemma=adoprare 
 adopravamo ( VERB ) lemma=adoprare 
 adopravan ( VERB ) lemma=adoprare 
 adopravano ( VERB ) lemma=adoprare 
 adopravate ( VERB ) lemma=adoprare 
 adopravi ( VERB ) lemma=adoprare 
 adopravo ( VERB ) lemma=adoprare 
 adoprera' ( VERB ) lemma=adoprare 
 adoprerai ( VERB ) lemma=adoprare 
 adopreran ( VERB ) lemma=adoprare 
 adopreranno ( VERB ) lemma=adoprare 
 adoprerebbe ( VERB ) lemma=adoprare 
 adoprerebber ( VERB ) lemma=adoprare 
 adoprerebbero ( VERB ) lemma=adoprare 
 adoprerei ( VERB ) lemma=adoprare 
 adopreremmo ( VERB ) lemma=adoprare 
 adopreremo ( VERB ) lemma=adoprare 
 adoprereste ( VERB ) lemma=adoprare 
 adopreresti ( VERB ) lemma=adoprare 
 adoprerete ( VERB ) lemma=adoprare 
 adoprero' ( VERB ) lemma=adoprare 
 adoprerà ( VERB ) lemma=adoprare 
 adoprerò ( VERB ) lemma=adoprare 
 adopri ( VERB ) lemma=adoprare 
 adopriamo ( VERB ) lemma=adoprare 
 adopriate ( VERB ) lemma=adoprare 
 adoprin ( VERB ) lemma=adoprare 
 adoprino ( VERB ) lemma=adoprare 
 adopro ( VERB ) lemma=adoprare 
 adopro' ( VERB ) lemma=adoprare 
 adoprò ( VERB ) lemma=adoprare 
 adora ( VERB ) lemma=adorare 
 adorabile ( ADJECTIVE ) 
 adorabili ( ADJECTIVE ) lemma=adorabile 
 adorabilissima ( ADJECTIVE ) lemma=adorabile 
 adorabilissime ( ADJECTIVE ) lemma=adorabile 
 adorabilissimi ( ADJECTIVE ) lemma=adorabile 
 adorabilissimo ( ADJECTIVE ) lemma=adorabile 
 adorai ( VERB ) lemma=adorare 
 adorammo ( VERB ) lemma=adorare 
 adoran ( VERB ) lemma=adorare 
 adorando ( NOUN NOUN_GERUND ) lemma=adorare 
 adorandola ( NOUN NOUN_GERUND ) lemma=adorare 
 adorano ( VERB ) lemma=adorare 
 adorante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adorare 
 adoranti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adorare 
 adorar ( VERB_INFINITIVE VERB ) lemma=adorare 
 adorare ( VERB_INFINITIVE VERB ) 
 adoraron ( VERB ) lemma=adorare 
 adorarono ( VERB ) lemma=adorare 
 adorasse ( VERB ) lemma=adorare 
 adorasser ( VERB ) lemma=adorare 
 adorassero ( VERB ) lemma=adorare 
 adorassi ( VERB ) lemma=adorare 
 adorassimo ( VERB ) lemma=adorare 
 adoraste ( VERB ) lemma=adorare 
 adorasti ( VERB ) lemma=adorare 
 adorata ( VERB_PAST_PARTICIPLE VERB ) lemma=adorare 
 adorate ( VERB_PAST_PARTICIPLE VERB ) lemma=adorare 
 adorati ( VERB_PAST_PARTICIPLE NOUN VERB NOUN_SINGULAR ) lemma=adorato 
 adorato ( VERB_PAST_PARTICIPLE NOUN VERB NOUN_SINGULAR ) 
 adoratore ( NOUN NOUN_SINGULAR ) 
 adoratori ( NOUN NOUN_SINGULAR ) lemma=adoratore 
 adorava ( VERB ) lemma=adorare 
 adoravamo ( VERB ) lemma=adorare 
 adoravan ( VERB ) lemma=adorare 
 adoravano ( VERB ) lemma=adorare 
 adoravate ( VERB ) lemma=adorare 
 adoravi ( VERB ) lemma=adorare 
 adoravo ( VERB ) lemma=adorare 
 adorazione ( NOUN NOUN_SINGULAR ) 
 adorazioni ( NOUN NOUN_SINGULAR ) lemma=adorazione 
 adorera' ( VERB ) lemma=adorare 
 adorerai ( VERB ) lemma=adorare 
 adoreran ( VERB ) lemma=adorare 
 adoreranno ( VERB ) lemma=adorare 
 adorerebbe ( VERB ) lemma=adorare 
 adorerebber ( VERB ) lemma=adorare 
 adorerebbero ( VERB ) lemma=adorare 
 adorerei ( VERB ) lemma=adorare 
 adoreremmo ( VERB ) lemma=adorare 
 adoreremo ( VERB ) lemma=adorare 
 adorereste ( VERB ) lemma=adorare 
 adoreresti ( VERB ) lemma=adorare 
 adorerete ( VERB ) lemma=adorare 
 adorero' ( VERB ) lemma=adorare 
 adorerà ( VERB ) lemma=adorare 
 adorerò ( VERB ) lemma=adorare 
 adori ( VERB ) lemma=adorare 
 adoriamo ( VERB ) lemma=adorare 
 adoriate ( VERB ) lemma=adorare 
 adorin ( VERB ) lemma=adorare 
 adorino ( VERB ) lemma=adorare 
 adorna ( VERB ADJECTIVE ) lemma=adorno 
 adornai ( VERB ) lemma=adornare 
 adornammo ( VERB ) lemma=adornare 
 adornan ( VERB ) lemma=adornare 
 adornando ( NOUN NOUN_GERUND ) lemma=adornare 
 adornano ( VERB ) lemma=adornare 
 adornante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adornare 
 adornanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adornare 
 adornar ( VERB_INFINITIVE VERB ) lemma=adornare 
 adornare ( VERB_INFINITIVE VERB ) 
 adornaron ( VERB ) lemma=adornare 
 adornarono ( VERB ) lemma=adornare 
 adornarsi ( VERB_INFINITIVE VERB ) lemma=adornare 
 adornasse ( VERB ) lemma=adornare 
 adornasser ( VERB ) lemma=adornare 
 adornassero ( VERB ) lemma=adornare 
 adornassi ( VERB ) lemma=adornare 
 adornassimo ( VERB ) lemma=adornare 
 adornaste ( VERB ) lemma=adornare 
 adornasti ( VERB ) lemma=adornare 
 adornata ( VERB_PAST_PARTICIPLE VERB ) lemma=adornare 
 adornate ( VERB_PAST_PARTICIPLE VERB ) lemma=adornare 
 adornati ( VERB_PAST_PARTICIPLE VERB ) lemma=adornare 
 adornato ( VERB_PAST_PARTICIPLE VERB ) lemma=adornare 
 adornava ( VERB ) lemma=adornare 
 adornavamo ( VERB ) lemma=adornare 
 adornavan ( VERB ) lemma=adornare 
 adornavano ( VERB ) lemma=adornare 
 adornavate ( VERB ) lemma=adornare 
 adornavi ( VERB ) lemma=adornare 
 adornavo ( VERB ) lemma=adornare 
 adorne ( ADJECTIVE ) lemma=adorno 
 adornera' ( VERB ) lemma=adornare 
 adornerai ( VERB ) lemma=adornare 
 adorneran ( VERB ) lemma=adornare 
 adorneranno ( VERB ) lemma=adornare 
 adornerebbe ( VERB ) lemma=adornare 
 adornerebber ( VERB ) lemma=adornare 
 adornerebbero ( VERB ) lemma=adornare 
 adornerei ( VERB ) lemma=adornare 
 adorneremmo ( VERB ) lemma=adornare 
 adorneremo ( VERB ) lemma=adornare 
 adornereste ( VERB ) lemma=adornare 
 adorneresti ( VERB ) lemma=adornare 
 adornerete ( VERB ) lemma=adornare 
 adornero' ( VERB ) lemma=adornare 
 adornerà ( VERB ) lemma=adornare 
 adornerò ( VERB ) lemma=adornare 
 adorni ( VERB ADJECTIVE ) lemma=adorno 
 adorniamo ( VERB ) lemma=adornare 
 adorniate ( VERB ) lemma=adornare 
 adornin ( VERB ) lemma=adornare 
 adornino ( VERB ) lemma=adornare 
 adornissima ( ADJECTIVE ) lemma=adorno 
 adornissime ( ADJECTIVE ) lemma=adorno 
 adornissimi ( ADJECTIVE ) lemma=adorno 
 adornissimo ( ADJECTIVE ) lemma=adorno 
 adorno ( VERB ADJECTIVE ) 
 adorno' ( VERB ) lemma=adornare 
 adornò ( VERB ) lemma=adornare 
 adoro ( VERB ) lemma=adorare 
 adoro' ( VERB ) lemma=adorare 
 adorò ( VERB ) lemma=adorare 
 adotta ( VERB ) lemma=adottare 
 adottabile ( ADJECTIVE ) 
 adottabili ( ADJECTIVE ) lemma=adottabile 
 adottabilissima ( ADJECTIVE ) lemma=adottabile 
 adottabilissime ( ADJECTIVE ) lemma=adottabile 
 adottabilissimi ( ADJECTIVE ) lemma=adottabile 
 adottabilissimo ( ADJECTIVE ) lemma=adottabile 
 adottai ( VERB ) lemma=adottare 
 adottammo ( VERB ) lemma=adottare 
 adottan ( VERB ) lemma=adottare 
 adottando ( NOUN NOUN_GERUND ) lemma=adottare 
 adottandola ( NOUN NOUN_GERUND ) lemma=adottare 
 adottano ( VERB ) lemma=adottare 
 adottante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adottare 
 adottanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=adottare 
 adottar ( VERB_INFINITIVE VERB ) lemma=adottare 
 adottarci ( VERB_INFINITIVE VERB ) lemma=adottare 
 adottare ( VERB_INFINITIVE VERB ) 
 adottarla ( VERB_INFINITIVE VERB ) lemma=adottare 
 adottarle ( VERB_INFINITIVE VERB ) lemma=adottare 
 adottarlo ( VERB_INFINITIVE VERB ) lemma=adottare 
 adottarne ( VERB_INFINITIVE VERB ) lemma=adottare 
 adottaron ( VERB ) lemma=adottare 
 adottarono ( VERB ) lemma=adottare 
 adottarsi ( VERB_INFINITIVE VERB ) lemma=adottare 
 adottasse ( VERB ) lemma=adottare 
 adottasser ( VERB ) lemma=adottare 
 adottassero ( VERB ) lemma=adottare 
 adottassi ( VERB ) lemma=adottare 
 adottassimo ( VERB ) lemma=adottare 
 adottaste ( VERB ) lemma=adottare 
 adottasti ( VERB ) lemma=adottare 
 adottata ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) lemma=adottato 
 adottate ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) lemma=adottato 
 adottati ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) lemma=adottato 
 adottatissima ( ADJECTIVE ) lemma=adottato 
 adottatissime ( ADJECTIVE ) lemma=adottato 
 adottatissimi ( ADJECTIVE ) lemma=adottato 
 adottatissimo ( ADJECTIVE ) lemma=adottato 
 adottato ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ) 
 adottava ( VERB ) lemma=adottare 
 adottavamo ( VERB ) lemma=adottare 
 adottavan ( VERB ) lemma=adottare 
 adottavano ( VERB ) lemma=adottare 
 adottavate ( VERB ) lemma=adottare 
 adottavi ( VERB ) lemma=adottare 
 adottavo ( VERB ) lemma=adottare 
 adottera' ( VERB ) lemma=adottare 
 adotterai ( VERB ) lemma=adottare 
 adotteran ( VERB ) lemma=adottare 
 adotteranno ( VERB ) lemma=adottare 
 adotterebbe ( VERB ) lemma=adottare 
 adotterebber ( VERB ) lemma=adottare 
 adotterebbero ( VERB ) lemma=adottare 
 adotterei ( VERB ) lemma=adottare 
 adotteremmo ( VERB ) lemma=adottare 
 adotteremo ( VERB ) lemma=adottare 
 adottereste ( VERB ) lemma=adottare 
 adotteresti ( VERB ) lemma=adottare 
 adotterete ( VERB ) lemma=adottare 
 adottero' ( VERB ) lemma=adottare 
 adotterà ( VERB ) lemma=adottare 
 adotterò ( VERB ) lemma=adottare 
 adotti ( VERB ) lemma=adottare 
 adottiamo ( VERB ) lemma=adottare 
 adottiate ( VERB ) lemma=adottare 
 adottin ( VERB ) lemma=adottare 
 adottino ( VERB ) lemma=adottare 
 adottiva ( ADJECTIVE ) lemma=adottivo 
 adottive ( ADJECTIVE ) lemma=adottivo 
 adottivi ( ADJECTIVE ) lemma=adottivo 
 adottivissima ( ADJECTIVE ) lemma=adottivo 
 adottivissime ( ADJECTIVE ) lemma=adottivo 
 adottivissimi ( ADJECTIVE ) lemma=adottivo 
 adottivissimo ( ADJECTIVE ) lemma=adottivo 
 adottivo ( ADJECTIVE ) 
 adotto ( VERB ) lemma=adottare 
 adotto' ( VERB ) lemma=adottare 
 adottò ( VERB ) lemma=adottare 
 adozione ( NOUN NOUN_SINGULAR ) 
 adozioni ( NOUN NOUN_SINGULAR ) lemma=adozione 
 adrenalina ( NOUN NOUN_SINGULAR ) 
 adrianea ( ADJECTIVE ) lemma=adrianeo 
 adrianee ( ADJECTIVE ) lemma=adrianeo 
 adrianei ( ADJECTIVE ) lemma=adrianeo 
 adrianeissima ( ADJECTIVE ) lemma=adrianeo 
 adrianeissime ( ADJECTIVE ) lemma=adrianeo 
 adrianeissimi ( ADJECTIVE ) lemma=adrianeo 
 adrianeissimo ( ADJECTIVE ) lemma=adrianeo 
 adrianeo ( ADJECTIVE ) 
 adriatica ( ADJECTIVE ) lemma=adriatico 
 adriatiche ( ADJECTIVE ) lemma=adriatico 
 adriatici ( ADJECTIVE ) lemma=adriatico 
 adriaticissima ( ADJECTIVE ) lemma=adriatico 
 adriaticissime ( ADJECTIVE ) lemma=adriatico 
 adriaticissimi ( ADJECTIVE ) lemma=adriatico 
 adriaticissimo ( ADJECTIVE ) lemma=adriatico 
 adriatico ( ADJECTIVE ) 
 aduggera' ( VERB ) lemma=aduggiare 
 aduggerai ( VERB ) lemma=aduggiare 
 aduggeran ( VERB ) lemma=aduggiare 
 aduggeranno ( VERB ) lemma=aduggiare 
 aduggerebbe ( VERB ) lemma=aduggiare 
 aduggerebber ( VERB ) lemma=aduggiare 
 aduggerebbero ( VERB ) lemma=aduggiare 
 aduggerei ( VERB ) lemma=aduggiare 
 aduggeremmo ( VERB ) lemma=aduggiare 
 aduggeremo ( VERB ) lemma=aduggiare 
 aduggereste ( VERB ) lemma=aduggiare 
 aduggeresti ( VERB ) lemma=aduggiare 
 aduggerete ( VERB ) lemma=aduggiare 
 aduggero' ( VERB ) lemma=aduggiare 
 aduggerà ( VERB ) lemma=aduggiare 
 aduggerò ( VERB ) lemma=aduggiare 
 aduggi ( VERB ) lemma=aduggiare 
 aduggia ( VERB ) lemma=aduggiare 
 aduggiai ( VERB ) lemma=aduggiare 
 aduggiammo ( VERB ) lemma=aduggiare 
 aduggiamo ( VERB ) lemma=aduggiare 
 aduggian ( VERB ) lemma=aduggiare 
 aduggiando ( NOUN NOUN_GERUND ) lemma=aduggiare 
 aduggiano ( VERB ) lemma=aduggiare 
 aduggiante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=aduggiare 
 aduggianti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=aduggiare 
 aduggiar ( VERB_INFINITIVE VERB ) lemma=aduggiare 
 aduggiare ( VERB_INFINITIVE VERB ) 
 aduggiaron ( VERB ) lemma=aduggiare 
 aduggiarono ( VERB ) lemma=aduggiare 
 aduggiasse ( VERB ) lemma=aduggiare 
 aduggiasser ( VERB ) lemma=aduggiare 
 aduggiassero ( VERB ) lemma=aduggiare 
 aduggiassi ( VERB ) lemma=aduggiare 
 aduggiassimo ( VERB ) lemma=aduggiare 
