 H ( NOUN NOUN_PROPER_SINGULAR ) 
 H&F ( NOUN NOUN_PROPER_SINGULAR ) 
 H&H ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K-Geschäftsleitung ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K-Waffen ( NOUN NOUN_PROPER_SINGULAR ) 
 H&M ( NOUN NOUN_PROPER_SINGULAR ) 
 Haxen-Keller ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Haxen-Reichert ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haxenschwung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hay ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haya ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayali ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayat ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayati ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayco ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haydar ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayde ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haydi ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haydim ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haydn ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haydn- ( ) 
 Haydn-Fest ( NOUN NOUN_PROPER_SINGULAR ) 
 Haydn-Messe ( NOUN NOUN_PROPER_SINGULAR ) 
 Haydn-Quartett ( NOUN NOUN_PROPER_SINGULAR ) 
 Haydn-Quartette ( NOUN NOUN_PROPER_SINGULAR ) lemma=Haydn-Quartett 
 Haydn-Satz ( NOUN NOUN_PROPER_SINGULAR ) 
 Haydn-Schüler ( NOUN NOUN_PROPER_SINGULAR ) 
 Haydn-Sinfonien ( NOUN NOUN_PROPER_SINGULAR ) lemma=Haydn-Sinfonie 
 Haydn-Sonaten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Haydn-Sonate 
 Haydn-Symphonie ( NOUN NOUN_PROPER_SINGULAR ) 
 Haydn-Variationen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Haydn-Variation 
 Haydns ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=Haydn 
 Haydnstrasse ( NOUN NOUN_PROPER_SINGULAR ) lemma=Haydnstraße 
 Haydnstraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Haydée-Kompanie ( NOUN NOUN_PROPER_SINGULAR ) 
 Haydée-Truppe ( NOUN NOUN_PROPER_SINGULAR ) 
 Haye ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayen ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayer-Brot ( NOUN NOUN_PROPER_SINGULAR ) 
 Hayes-Charlie ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayfa ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haygül ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayit-Verlag ( NOUN NOUN_PROPER_SINGULAR ) 
 Hayit-Verlags ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hayit-Verlag 
 Hayk-Sten ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayko ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haymo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haymon-Verlag ( NOUN NOUN_PROPER_SINGULAR ) 
 Hayno ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayrettin ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayri ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayriye ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayrndin ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayrullah ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hays ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haysam ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayssam ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayssan ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Haytham ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayung ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hayworth-Mythos ( NOUN NOUN_PROPER_SINGULAR ) 
 Hazbije ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hazel ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hazelle ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hazi ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hazi-Hasan ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hazienda- ( ) 
 Hazim ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hazir ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hazis ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hazratbal- ( ) 
 Hazratbal-Moschee ( NOUN NOUN_PROPER_SINGULAR ) 
 Hazratmir ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hazy-Osterwald-Sextett ( NOUN NOUN_PROPER_SINGULAR ) 
 Haß ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hass 
 Haß- ( ) lemma=Hass- 
 Haß-Ikone ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hass-Ikone 
 Haß-Liebe ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hass-Liebe 
 Haß-Liebe-Beziehung ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hass-Liebe-Beziehung 
 Haß-Pädagogik ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hass-Pädagogik 
 Haßattacken ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassattacke 
 Haßausbruch ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassausbruch 
 Haßausbrüche ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassausbruch 
 Haßausbrüchen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassausbruch 
 Haßbach ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Haßbekundungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassbekundung 
 Haßberge ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassberg 
 Haßbriefe ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassbrief 
 Haßerfüllte ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=haßerfüllt 
 Haßfigur ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassfigur 
 Haßformen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassform 
 Haßfurt ( NOUN NOUN_PROPER_SINGULAR ) 
 Haßgefühl ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassgefühl 
 Haßgefühle ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassgefühl 
 Haßgefühlen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassgefühl 
 Haßgesänge ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassgesang 
 Haßgesängen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassgesang 
 Haßgewalt ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassgewalt 
 Haßkampagne ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasskampagne 
 Haßkappe ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasskappe 
 Haßkappen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasskappe 
 Haßkappen-Fraktion ( NOUN NOUN_PROPER_SINGULAR ) 
 Haßkappenfraktion ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasskappenfraktion 
 Haßkasse ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasskasse 
 Haßkerl ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasskerl 
 Haßklima ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassklima 
 Haßkonferenz ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasskonferenz 
 Haßleben ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassleben 
 Haßliebe ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=haßlieb 
 Haßlieder ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasslied 
 Haßliste ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassliste 
 Haßloch ( NOUN NOUN_PROPER_SINGULAR ) 
 Haßlocher ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasslocher 
 Haßmaske ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassmaske 
 Haßmotiv ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassmotiv 
 Haßobjekt ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassobjekt 
 Haßobjekte ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassobjekt 
 Haßobjekten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassobjekt 
 Haßobjekts ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassobjekt 
 Haßparolen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassparole 
 Haßphantasien ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassphantasie 
 Haßphase ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassphase 
 Haßpotential ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasspotential 
 Haßtirade ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasstirade 
 Haßtiraden ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasstirade 
 Haßtriaden ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasstriade 
 Haßverbrechen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hassverbrechen 
 Haßwelle ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasswelle 
 Haßwellen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasswelle 
 Haßzeichen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hasszeichen 
 Hbf. ( NOUN NOUN_PROPER_SINGULAR ) 
 Hch ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hch. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hd. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 HdK- ( ) 
 HdK-Designerin ( NOUN NOUN_PROPER_SINGULAR ) 
 HdK-Gebäude ( NOUN NOUN_PROPER_SINGULAR ) 
 HdK-Mitarbeiterin ( NOUN NOUN_PROPER_SINGULAR ) 
 HdK-Pressestelle ( NOUN NOUN_PROPER_SINGULAR ) 
 HdK-Professor ( NOUN NOUN_PROPER_SINGULAR ) 
 HdK-Professoren ( NOUN NOUN_PROPER_SINGULAR ) lemma=HdK-Professor 
 HdK-Professur ( NOUN NOUN_PROPER_SINGULAR ) 
 HdK-Projekts ( NOUN NOUN_PROPER_SINGULAR ) lemma=HdK-Projekt 
 HdK-Präsident ( NOUN NOUN_PROPER_SINGULAR ) 
 HdK-Präsidenten ( NOUN NOUN_PROPER_SINGULAR ) lemma=HdK-Präsident 
 HdK-Studenten ( NOUN NOUN_PROPER_SINGULAR ) lemma=HdK-Student 
 HdK-Studentinnen ( NOUN NOUN_PROPER_SINGULAR ) lemma=HdK-Studentin 
 HdKl-Programme ( NOUN NOUN_PROPER_SINGULAR ) lemma=HdKl-Programm 
 Hdl. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 He ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 He- ( ) 
 He-Männer ( NOUN NOUN_PROPER_SINGULAR ) lemma=He-Mann 
 He-Ok ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Head ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Header ( NOUN NOUN_PROPER_SINGULAR ) 
 Headliner-Tour ( NOUN NOUN_PROPER_SINGULAR ) 
 Hearing-Gruppe ( NOUN NOUN_PROPER_SINGULAR ) 
 Heart ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Heartfield-Bild ( NOUN NOUN_PROPER_SINGULAR ) 
 Heather ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Heavy- ( ) 
 Heavy-Band ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Gitarrist ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Haudegen ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal- ( ) 
 Heavy-Metal-Band ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal-Bands ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heavy-Metal-Band 
 Heavy-Metal-Fan ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal-Fans ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heavy-Metal-Fan 
 Heavy-Metal-Gedröhn ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal-Gruppen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heavy-Metal-Gruppe 
 Heavy-Metal-Kapelle ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal-Klängen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heavy-Metal-Klang 
 Heavy-Metal-Konzert ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal-Konzerte ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heavy-Metal-Konzert 
 Heavy-Metal-Musik ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal-Mythen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heavy-Metal-Mythos 
 Heavy-Metal-Prozess ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal-Prozeß ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heavy-Metal-Prozess 
 Heavy-Metal-Riffs ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heavy-Metal-Riff 
 Heavy-Metal-Rock ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal-Rockmusik ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metal-Szene ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Metall ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-Rock ( NOUN NOUN_PROPER_SINGULAR ) 
 Heavy-metal-Band ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebamme ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebamme 
 Hebammen- ( ) 
 Hebammen-Notstand ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammen-Praxis ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammen-Verband ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammenberuf ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammenbund ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammendienst ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammengeburtshilfe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammenhilfe-Gebührenverordnung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammenkoffer ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammenkongress ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammenkongresses ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebammenkongress 
 Hebammenkongreß ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebammenkongress 
 Hebammenkunst ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammenplanstellen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebammenplanstelle 
 Hebammenpraxis ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebammenpraxen 
 Hebammenschule ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammenschülerin ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammensprechstunden ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebammensprechstunde 
 Hebammenstellen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebammenstelle 
 Hebammentag ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebammenverband ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebbel- ( ) 
 Hebbel-Theater ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebbel-Theaters ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebbel-Theater 
 Hebe ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hebe- ( ) 
 Hebe-Akrobatik ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebeakrobatik ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebeammenkunst ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebeanlage ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebeball ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebebühne ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebebühnen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebebühne 
 Hebedine ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hebeeinrichtung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebefiguren ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebefigur 
 Hebeglied ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebehilfen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebehilfe 
 Hebekran ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebel ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebel-Gruppe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebelarm ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebeldruck ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebelgesetze ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebelgesetz 
 Hebelgymnasium ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebeliste ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebelkraft ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebeln ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebel 
 Hebels ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebel 
 Hebelspuren ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebelspur 
 Hebelstrasse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebelstraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebelverhältnisse ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebelverhältnis 
 Hebelwirkung ( NOUN NOUN_PROPER_SINGULAR ) 
 Heben ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebenstreit ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebenstreit- ( ) 
 Hebephrenie ( NOUN NOUN_PROPER_SINGULAR ) 
 Heber ( NOUN NOUN_PROPER_SINGULAR ) 
 Heberbühne ( NOUN NOUN_PROPER_SINGULAR ) 
 Heberclub ( NOUN NOUN_PROPER_SINGULAR ) 
 Heberinnen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heberin 
 Heberlein ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebern ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heber 
 Hebersdorf ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebert ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hebesatz ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebesatzerhöhung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebesatzes ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebesatz 
 Hebesatzrecht ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebestrasse ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebestraße 
 Hebestraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebestreit ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebesätze ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebesatz 
 Hebesätzen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebesatz 
 Hebetechnik ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebetechniken ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebetechnik 
 Hebevorrichtung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebevorrichtungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebevorrichtung 
 Hebewerk ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebewerke ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebewerk 
 Hebewerkzeuge ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebewerkzeug 
 Hebewinden ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebewinde 
 Hebezeuge ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebezeug 
 Hebraica- ( ) 
 Hebriden-Ouvertüre ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebron- ( ) 
 Hebron-Bericht ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebron-Massaker ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebron-Massakers ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebron-Massaker 
 Hebräer ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebräerbrief ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebräern ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebräer 
 Hebräisch- ( ) 
 Hebräisch-Kurs ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebräische ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hebräisch 
 Hebräischen ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hebräisch 
 Hebräischkurse ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebräischkurs 
 Hebung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hebungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hebung 
 Heca ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hecham ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hechel ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechelei ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechelmaier ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hechelmann ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hecheln ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechelstrasse ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hechelstraße 
 Hechelstraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechinger ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hechinger-Vorschlag ( NOUN NOUN_PROPER_SINGULAR ) 
 Hecht ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechte ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hecht 
 Hechten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hecht 
 Hechtenorden ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtes ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hecht 
 Hechtfischen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hechtfisch|Hechtfischen 
 Hechtfischer ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtgraben ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechthausen ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtklösschen ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtklößchen ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtkopf ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtkopfball ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtrolle ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtrollen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hechtrolle 
 Hechts ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hecht 
 Hechtschonzeit ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtsprung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtsprünge ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hechtsprung 
 Hechtsuppe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtwagen ( NOUN NOUN_PROPER_SINGULAR ) 
 Hechtwiese ( NOUN NOUN_PROPER_SINGULAR ) 
 Heck ( NOUN NOUN_PROPER_SINGULAR ) 
 Heck- ( ) 
 Heck-Wallesch ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Heckablage ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckantrieb ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckbereich ( NOUN NOUN_PROPER_SINGULAR ) 
 Hecke ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckelmann- ( ) 
 Heckelmann-Beamten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckelmann-Beamter 
 Heckelmann-Referent ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckelmann-Sprecher ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckelmann-Vorlage ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckelmann-Weisung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hecken ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hecke 
 Hecken- ( ) 
 Heckenauer ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Heckenexperte ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenfest ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckengarten ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenlandschaft ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenlandschaften ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenlandschaft 
 Heckenmobiles ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenmobile 
 Heckenpflanzungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenpflanzung 
 Heckenrainen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenrain 
 Heckenrose ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenrosen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenrose 
 Heckenrosengestrüpp ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenschere ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenscheren ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenschere 
 Heckenschneidegerät ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenschneiden ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenschnitt ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenschnitte ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenschnitt 
 Heckenschütze ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenschützen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenschütze 
 Heckenschützen-Allee ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenschützen-Kugel ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenschützenaktionen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenschützenaktion 
 Heckenschützenfeuer ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenschützenparolen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Heckenschützenparole 
 Heckenschützenpolitik ( NOUN NOUN_PROPER_SINGULAR ) 
 Heckenstrasse ( NOUN NOUN_PROPER_SINGULAR ) 
